"date","year","month","age_group","gender","race","region","unemployment_rate"
"2019-01-01",2019,1,"18-24","Male","White","Northeast",8.01
"2019-01-01",2019,1,"18-24","Male","White","South",9.24
"2019-01-01",2019,1,"18-24","Male","White","Midwest",8.19
"2019-01-01",2019,1,"18-24","Male","White","West",8.33
"2019-01-01",2019,1,"18-24","Male","Black","Northeast",13.82
"2019-01-01",2019,1,"18-24","Male","Black","South",15.86
"2019-01-01",2019,1,"18-24","Male","Black","Midwest",15.36
"2019-01-01",2019,1,"18-24","Male","Black","West",14.03
"2019-01-01",2019,1,"18-24","Male","Hispanic","Northeast",11.56
"2019-01-01",2019,1,"18-24","Male","Hispanic","South",13.41
"2019-01-01",2019,1,"18-24","Male","Hispanic","Midwest",12.56
"2019-01-01",2019,1,"18-24","Male","Hispanic","West",12.22
"2019-01-01",2019,1,"18-24","Male","Asian","Northeast",7.27
"2019-01-01",2019,1,"18-24","Male","Asian","South",7.68
"2019-01-01",2019,1,"18-24","Male","Asian","Midwest",7.52
"2019-01-01",2019,1,"18-24","Male","Asian","West",7.64
"2019-01-01",2019,1,"18-24","Male","Other","Northeast",10.36
"2019-01-01",2019,1,"18-24","Male","Other","South",11.06
"2019-01-01",2019,1,"18-24","Male","Other","Midwest",10.89
"2019-01-01",2019,1,"18-24","Male","Other","West",10.46
"2019-01-01",2019,1,"18-24","Female","White","Northeast",8.38
"2019-01-01",2019,1,"18-24","Female","White","South",8.88
"2019-01-01",2019,1,"18-24","Female","White","Midwest",9.31
"2019-01-01",2019,1,"18-24","Female","White","West",8.85
"2019-01-01",2019,1,"18-24","Female","Black","Northeast",13.95
"2019-01-01",2019,1,"18-24","Female","Black","South",16.65
"2019-01-01",2019,1,"18-24","Female","Black","Midwest",15.77
"2019-01-01",2019,1,"18-24","Female","Black","West",15.53
"2019-01-01",2019,1,"18-24","Female","Hispanic","Northeast",11.92
"2019-01-01",2019,1,"18-24","Female","Hispanic","South",14.2
"2019-01-01",2019,1,"18-24","Female","Hispanic","Midwest",13.47
"2019-01-01",2019,1,"18-24","Female","Hispanic","West",12.91
"2019-01-01",2019,1,"18-24","Female","Asian","Northeast",7.07
"2019-01-01",2019,1,"18-24","Female","Asian","South",8.5
"2019-01-01",2019,1,"18-24","Female","Asian","Midwest",7.44
"2019-01-01",2019,1,"18-24","Female","Asian","West",7.89
"2019-01-01",2019,1,"18-24","Female","Other","Northeast",9.88
"2019-01-01",2019,1,"18-24","Female","Other","South",11.72
"2019-01-01",2019,1,"18-24","Female","Other","Midwest",11.87
"2019-01-01",2019,1,"18-24","Female","Other","West",11.03
"2019-01-01",2019,1,"18-24","Non-binary","White","Northeast",8.62
"2019-01-01",2019,1,"18-24","Non-binary","White","South",10.06
"2019-01-01",2019,1,"18-24","Non-binary","White","Midwest",9.2
"2019-01-01",2019,1,"18-24","Non-binary","White","West",9.67
"2019-01-01",2019,1,"18-24","Non-binary","Black","Northeast",15.66
"2019-01-01",2019,1,"18-24","Non-binary","Black","South",18.67
"2019-01-01",2019,1,"18-24","Non-binary","Black","Midwest",17.78
"2019-01-01",2019,1,"18-24","Non-binary","Black","West",16.7
"2019-01-01",2019,1,"18-24","Non-binary","Hispanic","Northeast",13.58
"2019-01-01",2019,1,"18-24","Non-binary","Hispanic","South",15.3
"2019-01-01",2019,1,"18-24","Non-binary","Hispanic","Midwest",14.32
"2019-01-01",2019,1,"18-24","Non-binary","Hispanic","West",13.65
"2019-01-01",2019,1,"18-24","Non-binary","Asian","Northeast",7.76
"2019-01-01",2019,1,"18-24","Non-binary","Asian","South",9.39
"2019-01-01",2019,1,"18-24","Non-binary","Asian","Midwest",8.23
"2019-01-01",2019,1,"18-24","Non-binary","Asian","West",8.53
"2019-01-01",2019,1,"18-24","Non-binary","Other","Northeast",11.54
"2019-01-01",2019,1,"18-24","Non-binary","Other","South",12.83
"2019-01-01",2019,1,"18-24","Non-binary","Other","Midwest",12.32
"2019-01-01",2019,1,"18-24","Non-binary","Other","West",11.97
"2019-01-01",2019,1,"25-34","Male","White","Northeast",4.36
"2019-01-01",2019,1,"25-34","Male","White","South",5.32
"2019-01-01",2019,1,"25-34","Male","White","Midwest",4.88
"2019-01-01",2019,1,"25-34","Male","White","West",4.47
"2019-01-01",2019,1,"25-34","Male","Black","Northeast",7.87
"2019-01-01",2019,1,"25-34","Male","Black","South",8.4
"2019-01-01",2019,1,"25-34","Male","Black","Midwest",8.09
"2019-01-01",2019,1,"25-34","Male","Black","West",8.25
"2019-01-01",2019,1,"25-34","Male","Hispanic","Northeast",6.46
"2019-01-01",2019,1,"25-34","Male","Hispanic","South",7
"2019-01-01",2019,1,"25-34","Male","Hispanic","Midwest",6.47
"2019-01-01",2019,1,"25-34","Male","Hispanic","West",6.24
"2019-01-01",2019,1,"25-34","Male","Asian","Northeast",3.48
"2019-01-01",2019,1,"25-34","Male","Asian","South",4.34
"2019-01-01",2019,1,"25-34","Male","Asian","Midwest",3.86
"2019-01-01",2019,1,"25-34","Male","Asian","West",4.18
"2019-01-01",2019,1,"25-34","Male","Other","Northeast",4.94
"2019-01-01",2019,1,"25-34","Male","Other","South",6.17
"2019-01-01",2019,1,"25-34","Male","Other","Midwest",6.02
"2019-01-01",2019,1,"25-34","Male","Other","West",5.22
"2019-01-01",2019,1,"25-34","Female","White","Northeast",4.47
"2019-01-01",2019,1,"25-34","Female","White","South",4.74
"2019-01-01",2019,1,"25-34","Female","White","Midwest",4.71
"2019-01-01",2019,1,"25-34","Female","White","West",4.77
"2019-01-01",2019,1,"25-34","Female","Black","Northeast",8.18
"2019-01-01",2019,1,"25-34","Female","Black","South",9.21
"2019-01-01",2019,1,"25-34","Female","Black","Midwest",8.47
"2019-01-01",2019,1,"25-34","Female","Black","West",7.91
"2019-01-01",2019,1,"25-34","Female","Hispanic","Northeast",6.17
"2019-01-01",2019,1,"25-34","Female","Hispanic","South",7.43
"2019-01-01",2019,1,"25-34","Female","Hispanic","Midwest",7.44
"2019-01-01",2019,1,"25-34","Female","Hispanic","West",6.43
"2019-01-01",2019,1,"25-34","Female","Asian","Northeast",3.66
"2019-01-01",2019,1,"25-34","Female","Asian","South",5.01
"2019-01-01",2019,1,"25-34","Female","Asian","Midwest",4.79
"2019-01-01",2019,1,"25-34","Female","Asian","West",4.39
"2019-01-01",2019,1,"25-34","Female","Other","Northeast",5.54
"2019-01-01",2019,1,"25-34","Female","Other","South",6.62
"2019-01-01",2019,1,"25-34","Female","Other","Midwest",6.55
"2019-01-01",2019,1,"25-34","Female","Other","West",6.13
"2019-01-01",2019,1,"25-34","Non-binary","White","Northeast",4.93
